property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_storage,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,הגוש הגדול,,5.0,4,130,0,,12,1000,650,10,"הגוש הגדול 12,500 ₪ הגוש הגדול, תל אביב יפו 5 חד' | 130 מ""ר | קומה 4 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול חדרים 5 מרפסות 1 קומה 4 מתוך 10 שטח בנוי 130 תשלומים בשנה 12 ארנונה בחודש 1000 ועד בית בחודש 650 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור בבניין חדיש בלמד החדשה. דירה נהדרת כחדשה!!! מערבית ,מוארת ביותר. מטבח עם איילנד ,סוויטת הורים גדולה ,מרפסת שמש יפיפיה כ 15 מ""ר. 2 חניות ומחסן שי ששון הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,1,1,1,1,0,1,1,0,0,12500.0,2,4778.0
דירה,הגוש הגדול,,5.0,5,149,0,,12,,0,8,"הגוש הגדול 17,000 ₪ הגוש הגדול, תל אביב יפו 5 חד' | 135 מ""ר | קומה 5 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול חדרים 5 מרפסות 1 קומה 5 מתוך 8 שטח בנוי 149 תשלומים בשנה 12 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור בלמד החדשה, בבניין חדש ומבוקש, דירת 5 חדרים, 135 מ""ר+ 14 מ""ר מרפסת מערבית עם נוף לים! מטבח מושקע ומאובזר! פרקט בחדרים, נכס מהמם! שלי בכור הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,1,1,1,1,0,1,1,0,1,17000.0,4,4778.0
דירה,הגוש הגדול,,5.0,6,150,0,,12,,0,7,"הגוש הגדול 16,000 ₪ הגוש הגדול, תל אביב יפו 5 חד' | 150 מ""ר | קומה 6 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול חדרים 5 מרפסות 1 קומה 6 מתוך 7 שטח בנוי 150 תשלומים בשנה 12 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור בנופי יפ הגוש הגדול 5חד מרווחת +מרפסת שמש יפה ומוארת מטבח מאבזר בכל מוצרי החשמל חד יפים 3 שרותים 2 חדרי רחצה מרווחים 2 חניות פירוט ריהוט ריהוט קומפלט ארונות בחדרים +חדר ארונות כל מוצרי החשמל תנור גז מדיח מקרר מכונת כביסב מייבש מיטות ריהוט גן במרפסת נדל""ן נוף ים- סיגל לוי הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,0,1,1,1,0,1,1,1,1,16000.0,9,4778.0
דירה,הגוש הגדול,,4.0,4,110,0,,1,900,550,9,"הגוש הגדול 10,900 ₪ הגוש הגדול, תל אביב יפו 4 חד' | 110 מ""ר | קומה 4 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול חדרים 4 מרפסות 1 קומה 4 מתוך 9 שטח בנוי 110 תשלומים בשנה 1 ארנונה בחודש 900 ועד בית בחודש 550 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור להשכרה בלמד החדשה רחוב יהודה עמיחי דירת 4 חדרים ממ״ד, מאסטר 110 מ""ר בנוי 14 מ""ר מרפסת קומה גבוהה מזרח, דרום ומערב שחר טל זכיין קלר וויליאמס תל אביב הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,1,1,1,0,0,1,1,0,0,10900.0,4,4778.0
דירה,הגוש הגדול,אמיר גלבוע,5.0,4,140,0,0,12,,0,6,"אמיר גלבוע 14,900 ₪ הגוש הגדול, תל אביב יפו 5 חד' | 120 מ""ר | קומה 4 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת אמיר גלבוע חדרים 5 מרפסות 2 קומה 4 מתוך 6 שטח בנוי 140 תאריך כניסה מיידית תשלומים בשנה 12 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב אמיר גלבוע שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור מיקום מבוקש. מהממת. מוארת (פונה לדרום מזרח) ענקית. מרפסת ענקית 20 מ""ר 2 חניות. מחסן. בניין חדש ומעוצב. כדי להזדרז! פירוט ריהוט יימסר ריהוט מטבח חדש: כיריים, תנור, מדיח כלים. צביקה בר הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,1,1,1,1,0,1,1,1,1,14900.0,5,4680.0
דירה,הגוש הגדול,,4.0,2,110,0,,12,,0,7,"הגוש הגדול 10,400 ₪ הגוש הגדול, תל אביב יפו 4 חד' | 100 מ""ר | קומה 2 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול חדרים 4 מרפסות 1 קומה 2 מתוך 7 שטח בנוי 110 תשלומים בשנה 12 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור להשכרה בנופי ים במרחק הליכה מהים ומקניון רמת אביב!! דירת 4 חדרים + מרפסת!! כ100 מ""ר בנוי כ10 מ""ר מרפסת 2 חניות לפרטים תומר הצגת מספר טלפון תאריך יצירה: 26/06/2024 תאריך הקפצה אחרון: 26/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,0,1,1,1,0,1,1,0,0,10400.0,1,4778.0
דירה,הגוש הגדול,אמיר גלבוע,5.0,4,140,0,0,12,,690,6,"אמיר גלבוע 15,000 ₪ הגוש הגדול, תל אביב יפו 5 חד' | 120 מ""ר | קומה 4 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת אמיר גלבוע חדרים 5 מרפסות 1 קומה 4 מתוך 6 שטח בנוי 140 תאריך כניסה מיידית תשלומים בשנה 12 ועד בית בחודש 690 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב אמיר גלבוע שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור במיקום מעולה בבניין חדש בנופי ים דירת 5 חדרים גדולה.יש 3 שירותים.חדר שינה מאסטר ועוד אמבטיה .הדירה היא 120 מר ומרפסת שמש של 20 מר.2 חניות ומחסן. אפשר לטווח ארוך אביבית הצגת מספר טלפון תאריך יצירה: 25/06/2024 תאריך הקפצה אחרון: 25/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,0,1,1,1,0,1,1,0,0,15000.0,6,4680.0
דירה,הגוש הגדול,,4.0,3,143,0,,12,1000,650,8,"הגוש הגדול 12,490 ₪ הגוש הגדול, תל אביב יפו 4 חד' | 143 מ""ר | קומה 3 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול חדרים 4 מרפסות 1 קומה 3 מתוך 8 שטח בנוי 143 תשלומים בשנה 12 ארנונה בחודש 1000 ועד בית בחודש 650 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור להשכרה בגוש הגדול -4 חד -120 מר + 23 מר מרפסת שמש מהממת , מעוצבת אדרכלית ברמה ,כולל מטבח מושקע עם אי - נוף לקאנטרי . כולל 2 תת קרקעיות . לטווח ארוך. לפרטים נוספים גיא פירוט ריהוט גופי תאורה בכל הבית ,מערכת סראונד,מושקעת,כיירים ,תנור,מדיח. ארונות איחסון . + אופציה לרכוש ריהוט נוסף מהדייר היוצא. גיא יעקובי הצגת מספר טלפון תאריך יצירה: 25/06/2024 תאריך הקפצה אחרון: 25/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,0,1,1,1,1,1,1,1,1,12490.0,10,4778.0
דירה,הגוש הגדול,מרק שגאל   5,5.0,2,125,0,0,12,1000,520,7,"מרק שגאל 5 11,000 ₪ הגוש הגדול, תל אביב יפו 5 חד' | 125 מ""ר | קומה 2 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת מרק שגאל 5 חדרים 5 מרפסות 1 קומה 2 מתוך 7 שטח בנוי 125 תאריך כניסה מיידית תשלומים בשנה 12 ארנונה בחודש 1000 ועד בית בחודש 520 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור רחוב: מרק שגאל שכונה: הגוש הגדול דירה של 5 חדרים,כ - 125 מטר, עם יציאה למרפסת שמש של 13 מטר רואים ים.. סלון עם מטבח פתוח,פלוס פינת אוכל. חדר רופא,עם שרותי צמודים. חדרי שינה עם מזגנים. אמבטיה ושרותים,עם יציאה למרפסת שרות. יח' הורים עם חדר ארונות צמוד. שקטה ויפה. בניין עם קודן,ואינטרקום. חניה כפולה,ומחסן. כניסה: 1.2.2023 שי הצגת מספר טלפון תאריך יצירה: 30/12/2022 תאריך הקפצה אחרון: 31/01/2023 מודעה מתיווך היסטוריית מחירים 03/01/2023 11,000 ₪ 30/12/2022 11,200 ₪ מצאתי טעות",1,1,1,1,0,0,1,1,0,1,11000.0,2,4930.0
דירה,הגוש הגדול,שגאל מרק 3,5.5,8,125,0,0,12,1200,250,10,"שגאל מרק 3 11,200 ₪ הגוש הגדול, תל אביב יפו 5.5 חד' | 125 מ""ר | קומה 8 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת שגאל מרק 3 חדרים 5.5 מרפסות 1 קומה 8 מתוך 10 שטח בנוי 125 תאריך כניסה מיידית תשלומים בשנה 12 ארנונה בחודש 1200 ועד בית בחודש 250 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב שגאל מרק שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור שכונה: הגוש הגדול דירה של 5 חדרים,כ - 125 מטר, עם יציאה למרפסת שמש של 13 מטר רואים ים.. סלון עם מטבח פתוח,פלוס פינת אוכל. חדר רופא,עם שרותי צמודים. חדרי שינה עם מזגנים. אמבטיה ושרותים,עם יציאה למרפסת שרות. יח' הורים עם חדר ארונות צמוד. שקטה ויפה. בניין עם קודן,ואינטרקום. חניה כפולה,ומחסן. כניסה: 1.2.2023 שי הצגת מספר טלפון תאריך יצירה: 30/12/2022 תאריך הקפצה אחרון: 15/01/2023 מודעה מתיווך מצאתי טעות",1,0,1,1,0,0,1,1,0,1,11200.0,8,4959.0
דירה,הגוש הגדול,מרק שגאל  5,5.0,2,125,0,0,12,1000,520,5,"מרק שגאל 5 11,200 ₪ הגוש הגדול, תל אביב יפו 5 חד' | 125 מ""ר | קומה 2 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת מרק שגאל 5 חדרים 5 מרפסות 1 קומה 2 מתוך 5 שטח בנוי 125 תאריך כניסה מיידית תשלומים בשנה 12 ארנונה בחודש 1000 ועד בית בחודש 520 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור שכונה: הגוש הגדול דירה של 5 חדרים,כ - 125 מטר, עם יציאה למרפסת שמש של 13 מטר רואים ים.. סלון עם מטבח פתוח,פלוס פינת אוכל. חדר רופא,עם שרותי צמודים. חדרי שינה עם מזגנים. אמבטיה ושרותים,עם יציאה למרפסת שרות. יח' הורים עם חדר ארונות צמוד. שקטה ויפה. בניין עם קודן,ואינטרקום. חניה כפולה,ומחסן. כניסה: 1.2.2023 תווך נכסים בתל אביב הצגת מספר טלפון תאריך יצירה: 30/12/2022 תאריך הקפצה אחרון: 30/12/2022 מודעה מתיווך מצאתי טעות",1,1,1,1,0,0,1,1,0,1,11200.0,4,4930.0
